 
 PROVISIONAL DEPARTMENTAL REPORT SHEET
 Computer        DEPARTMENT
 NAME:        Olawale
 MATRIC NUMBER:             189765
 SEX: Male
 
 ***********************************************************************************
 COURSE       SCORE     UNITS   GP     WGP      REMARK
 ***********************************************************************************
CSC292        87.0       3       7       21       PASSED
CSC212        76.0       3       7       21       PASSED
CSC231        89.0       3       7       21       PASSED
CSC232        93.0       4       7       28       PASSED
CSC272        72.0       4       7       28       PASSED
CSC292        54.0       3       3        9       PASSED
CSC291        45.0       4       2        8       PASSED
MAT213        76.0       4       7       28       PASSED
MAT141        23.0       4       0        0       FAILED
MAT121        83.0       3       7       21       PASSED
 ******************************************************************
 -------------------------------------------------------------------------------
Total Units Taken=35             Total Units Passed=31
Total WGP= 185.0           Cumulative Grade Point Average= 5.3
 
 
 
 .....................................
 Head Of Department
 Any alteration renders this document invalid.
